customer_id,mobile_usage_score,digital_txn_count,utility_payment_score,employment_stability
1,85,42,92,9
2,72,28,65,7
3,91,45,88,10
4,58,15,52,4
5,78,35,71,8
6,82,40,79,9
7,65,22,58,6
8,88,43,85,9
9,71,29,68,7
10,95,48,93,10
11,62,18,55,5
12,79,38,76,8
13,84,41,81,9
14,68,24,62,6
15,90,46,89,10
16,76,32,73,7
17,81,39,78,8
18,58,14,50,4
19,92,47,91,10
20,67,21,59,5
21,80,37,75,8
22,74,30,70,7
23,86,44,84,9
24,61,17,54,5
25,89,45,87,9
26,75,31,72,7
27,83,40,80,8
28,59,16,51,4
29,94,49,94,10
30,69,26,64,6
31,77,34,74,7
32,85,42,82,9
33,63,20,57,5
34,88,43,86,9
35,72,29,69,7
36,82,38,77,8
37,66,23,61,6
38,91,46,90,10
39,79,36,76,8
40,70,27,67,6
41,84,41,83,9
42,57,13,49,4
43,93,48,92,10
44,73,31,71,7
45,81,39,79,8
46,60,18,53,5
47,87,44,85,9
48,75,32,73,7
49,89,45,88,9
50,68,25,63,6
